Date,Ward Code,Area,Latitude,Longitude,Nearest Station,Elevation,Land Use Classes,Population,Road Density_m,Distance_to_water_m,Soil Type,Built_up%,True_nearest_distance_m,Rainfall_mm,Rainfall_Intensity_mm_hr,Rainfall_Days_Count,Rainfall_Hours
2025-08-24,Ward A,Colaba Causeway,18.9151,72.8141,Arabian Sea ,6.0,"commercial, mixed_use",185000,4.3,9,Urban,90.0,3921.69,16.2,1.2,1,24.0
2025-08-25,Ward A,Colaba Causeway,18.9151,72.8141,Arabian Sea ,6.0,"commercial, mixed_use",185000,4.3,9,Urban,90.0,3921.69,23.5,1.3,1,24.0
2025-08-26,Ward A,Colaba Causeway,18.9151,72.8141,Arabian Sea ,6.0,"commercial, mixed_use",185000,4.3,9,Urban,90.0,3921.69,34.8,2.6,1,24.0
2025-08-27,Ward A,Colaba Causeway,18.9151,72.8141,Arabian Sea ,6.0,"commercial, mixed_use",185000,4.3,9,Urban,90.0,3921.69,32.3,2.0,1,24.0
2025-08-28,Ward A,Colaba Causeway,18.9151,72.8141,Arabian Sea ,6.0,"commercial, mixed_use",185000,4.3,9,Urban,90.0,3921.69,49.8,2.8,1,24.0
2025-08-29,Ward A,Colaba Causeway,18.9151,72.8141,Arabian Sea ,6.0,"commercial, mixed_use",185000,4.3,9,Urban,90.0,3921.69,17.7,1.1,1,24.0
2025-08-30,Ward A,Colaba Causeway,18.9151,72.8141,Arabian Sea ,6.0,"commercial, mixed_use",185000,4.3,9,Urban,90.0,3921.69,15.3,0.9,1,24.0
2025-08-24,Ward A,Ballard Estate,18.9496,72.8414,Arabian Sea ,17.0,"commercial, institutional",185000,25.44,14,Sandy,90.0,1342.48,10.6,1.2,1,21.0
2025-08-25,Ward A,Ballard Estate,18.9496,72.8414,Arabian Sea ,17.0,"commercial, institutional",185000,25.44,14,Sandy,90.0,1342.48,19.9,1.3,1,23.0
2025-08-26,Ward A,Ballard Estate,18.9496,72.8414,Arabian Sea ,17.0,"commercial, institutional",185000,25.44,14,Sandy,90.0,1342.48,30.0,2.2,1,24.0
2025-08-27,Ward A,Ballard Estate,18.9496,72.8414,Arabian Sea ,17.0,"commercial, institutional",185000,25.44,14,Sandy,90.0,1342.48,30.4,2.4,1,24.0
2025-08-28,Ward A,Ballard Estate,18.9496,72.8414,Arabian Sea ,17.0,"commercial, institutional",185000,25.44,14,Sandy,90.0,1342.48,46.8,3.5,1,24.0
2025-08-29,Ward A,Ballard Estate,18.9496,72.8414,Arabian Sea ,17.0,"commercial, institutional",185000,25.44,14,Sandy,90.0,1342.48,16.5,1.0,1,24.0
2025-08-30,Ward A,Ballard Estate,18.9496,72.8414,Arabian Sea ,17.0,"commercial, institutional",185000,25.44,14,Sandy,90.0,1342.48,14.4,0.7,1,24.0
2025-08-24,Ward A,Regal Circle,18.9225,72.8312,Arabian Sea ,16.0,"commercial, mixed_use",185000,17.36,9,Urban,90.0,1872.23,16.2,1.2,1,24.0
2025-08-25,Ward A,Regal Circle,18.9225,72.8312,Arabian Sea ,16.0,"commercial, mixed_use",185000,17.36,9,Urban,90.0,1872.23,23.5,1.3,1,24.0
2025-08-26,Ward A,Regal Circle,18.9225,72.8312,Arabian Sea ,16.0,"commercial, mixed_use",185000,17.36,9,Urban,90.0,1872.23,34.8,2.6,1,24.0
2025-08-27,Ward A,Regal Circle,18.9225,72.8312,Arabian Sea ,16.0,"commercial, mixed_use",185000,17.36,9,Urban,90.0,1872.23,32.3,2.0,1,24.0
2025-08-28,Ward A,Regal Circle,18.9225,72.8312,Arabian Sea ,16.0,"commercial, mixed_use",185000,17.36,9,Urban,90.0,1872.23,49.8,2.8,1,24.0
2025-08-29,Ward A,Regal Circle,18.9225,72.8312,Arabian Sea ,16.0,"commercial, mixed_use",185000,17.36,9,Urban,90.0,1872.23,17.7,1.1,1,24.0
2025-08-30,Ward A,Regal Circle,18.9225,72.8312,Arabian Sea ,16.0,"commercial, mixed_use",185000,17.36,9,Urban,90.0,1872.23,15.3,0.9,1,24.0
2025-08-24,A,Fort,19.05088346,72.76146598,Arabian Sea,6.856552633,park,185000,3.410650534,4735,Sand,52.29782755,5938.0,10.6,1.2,1,21.0
2025-08-25,A,Fort,19.05088346,72.76146598,Arabian Sea,6.856552633,park,185000,3.410650534,4735,Sand,52.29782755,5938.0,19.9,1.3,1,23.0
2025-08-26,A,Fort,19.05088346,72.76146598,Arabian Sea,6.856552633,park,185000,3.410650534,4735,Sand,52.29782755,5938.0,30.0,2.2,1,24.0
2025-08-27,A,Fort,19.05088346,72.76146598,Arabian Sea,6.856552633,park,185000,3.410650534,4735,Sand,52.29782755,5938.0,30.4,2.4,1,24.0
2025-08-28,A,Fort,19.05088346,72.76146598,Arabian Sea,6.856552633,park,185000,3.410650534,4735,Sand,52.29782755,5938.0,46.8,3.5,1,24.0
2025-08-29,A,Fort,19.05088346,72.76146598,Arabian Sea,6.856552633,park,185000,3.410650534,4735,Sand,52.29782755,5938.0,16.5,1.0,1,24.0
2025-08-30,A,Fort,19.05088346,72.76146598,Arabian Sea,6.856552633,park,185000,3.410650534,4735,Sand,52.29782755,5938.0,14.4,0.7,1,24.0
