Ward Code,Area,Latitude,Longitude,Rainfall_mm,Rainfall_Intensity_mm_hr,Rainfall_Days_Count,Longest_Rainfall_Days,Discharge_m3s,Nearest_Station,Elevation,Soil_Type,Soil_Wetness_Index,Road_Density_m,Distance_to_Water_m,Built_up_%,Population,Flood_Risk_Level
Ward A,Colaba Causeway,18.9151,72.8141,36.099999999999994,1.4,2,24.0,,,0.0,,,,,,,
Ward A,Ballard Estate,18.9496,72.8414,30.2,1.3,2,24.0,,,8.0,,,,,,,
Ward A,Regal Circle,18.9225,72.8312,36.099999999999994,1.4,2,24.0,,,10.0,,,,,,,
A,Fort,19.05088346,72.76146598,30.2,1.3,2,24.0,,,0.0,,,,,,,
Ward A,Metro Cinema Subway,18.9445,72.8279,30.2,1.3,2,24.0,,,15.0,,,,,,,
Ward B,Dongri Circle,18.9594,72.8376,30.2,1.3,2,24.0,,,14.0,,,,,,,
Ward B,P D'Mello Road (near Masjid Bunder),18.9556,72.8412,30.2,1.3,2,24.0,,,5.0,,,,,,,
Ward B,Carnac Bunder underpass,18.9519,72.8356,30.2,1.3,2,24.0,,,16.0,,,,,,,
Ward C,Marine Lines Subway,18.9458,72.8238,30.2,1.3,2,24.0,,,9.0,,,,,,,
Ward C,CST Subway (near St. Xavier's),18.9472,72.8272,30.2,1.3,2,24.0,,,15.0,,,,,,,
C,Bhuleshwar,19.07657952,72.84501224,30.2,1.3,2,24.0,,,5.0,,,,,,,
Ward C,Princess Street corner (Marine Lines Junction),18.9494,72.8278,30.2,1.3,2,24.0,,,15.0,,,,,,,
Ward E,Nair Hospital Junction,18.9713,72.8255,30.2,1.3,2,24.0,,,9.0,,,,,,,
E,Byculla,19.2940447,72.72749992,30.2,1.3,2,24.0,,,0.0,,,,,,,
Ward E,Saat Rasta Junction,18.9754,72.8226,30.2,1.3,2,24.0,,,3.0,,,,,,,
E,Madanpura,18.94561466,72.94225348,30.2,1.3,2,24.0,,,0.0,,,,,,,
Ward E,Dockyard Road (Mazgaon),18.9637,72.8443,30.2,1.3,2,24.0,,,7.0,,,,,,,
Ward F/N,King's Circle,19.0272,72.8559,30.2,1.3,2,24.0,,,13.0,,,,,,,
Ward F/N,Sion Circle,19.0373,72.8555,30.2,1.3,2,24.0,,,5.0,,,,,,,
Ward F/N,Gandhi Market Junction,19.0337,72.8512,30.2,1.3,2,24.0,,,7.0,,,,,,,
F/N,Matunga,19.11092885,72.98558095,25.299999999999997,1.2,2,24.0,,,2.0,,,,,,,
Ward F/N,Five Gardens Underpass,19.0163,72.8494,30.2,1.3,2,24.0,,,6.0,,,,,,,
F/N,Wadala,18.87827989,72.84007918,36.099999999999994,1.4,2,24.0,,,0.0,,,,,,,
Ward F/N,Hindmata Junction,19.0199,72.8439,30.2,1.3,2,24.0,,,7.0,,,,,,,
Ward F/S,Naigaon Cross Road,19.0081,72.8367,30.2,1.3,2,24.0,,,5.0,,,,,,,
